[myiot][INFO] [2018-07-03 18:49:40] org.springframework.web.servlet.FrameworkServlet.initServletBean(479) | FrameworkServlet 'mvc-dispatcher': initialization started
[myiot][INFO] [2018-07-03 18:49:40] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(515) | Refreshing WebApplicationContext for namespace 'mvc-dispatcher-servlet': startup date [Tue Jul 03 18:49:40 CST 2018]; parent: Root WebApplicationContext
[myiot][INFO] [2018-07-03 18:49:40] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [spring-view.xml]
[myiot][INFO] [2018-07-03 18:49:40] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(315) | Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
[myiot][INFO] [2018-07-03 18:49:40] org.springframework.web.servlet.FrameworkServlet.initServletBean(498) | FrameworkServlet 'mvc-dispatcher': initialization completed in 140 ms
[myiot][INFO] [2018-07-03 18:49:40] com.migen.myiot.utils.LogUtil.info(62) | com.migen.myiot.netty.NettyServer.run(49)server start success,datetime:2018-07-03 18:49:40
[myiot][INFO] [2018-07-03 18:50:04] org.springframework.context.support.AbstractApplicationContext.doClose(875) | Closing WebApplicationContext for namespace 'mvc-dispatcher-servlet': startup date [Tue Jul 03 18:49:40 CST 2018]; parent: Root WebApplicationContext
[myiot][INFO] [2018-07-03 18:51:57] org.springframework.web.servlet.FrameworkServlet.initServletBean(479) | FrameworkServlet 'mvc-dispatcher': initialization started
[myiot][INFO] [2018-07-03 18:51:57] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(515) | Refreshing WebApplicationContext for namespace 'mvc-dispatcher-servlet': startup date [Tue Jul 03 18:51:57 CST 2018]; parent: Root WebApplicationContext
[myiot][INFO] [2018-07-03 18:51:57] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [spring-view.xml]
[myiot][INFO] [2018-07-03 18:51:57] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(315) | Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
[myiot][INFO] [2018-07-03 18:51:57] org.springframework.web.servlet.FrameworkServlet.initServletBean(498) | FrameworkServlet 'mvc-dispatcher': initialization completed in 330 ms
[myiot][INFO] [2018-07-03 18:51:58] com.migen.myiot.utils.LogUtil.info(62) | com.migen.myiot.netty.NettyServer.run(49)server start success,datetime:2018-07-03 18:51:58
[myiot][INFO] [2018-07-03 18:57:38] org.springframework.context.support.AbstractApplicationContext.doClose(875) | Closing WebApplicationContext for namespace 'mvc-dispatcher-servlet': startup date [Tue Jul 03 18:51:57 CST 2018]; parent: Root WebApplicationContext
